restaurant_id,restaurant_name,url,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,has_online_delivery,is_table_reservation_supported,establishment_types
16675405,Uluru Bar & Grill,https://www.zomato.com/belfast-northern-ireland/uluru-bar-grill-armagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3-5 Market Street, Armagh, Belfast BT61 7BW",Armagh,Belfast,320,54.2485423000,-6.7052175000,BT61 7BW,215,"Armagh, Belfast","Steak, Australian, Grill",50,0,Not rated,1,0,0,[]
16674551,Barking Dog,https://www.zomato.com/belfast-northern-ireland/barking-dog-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"33-35 Malone Rd, Belfast BT9 6RU",Belfast,Belfast,320,54.5808528000,-5.9385134000,BT9 6RU,215,"Belfast, Belfast",British,12,3.4,Average,9,0,0,[]
16674933,James Street South,https://www.zomato.com/belfast-northern-ireland/james-street-south-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"21 James St South, Belfast BT2 7GA",Belfast,Belfast,320,54.5954480000,-5.9328050000,BT2 7GA,215,"Belfast, Belfast","Bar Food, Scottish, British",12,3.9,Good,12,0,0,[]
16675079,Mollys Yard,https://www.zomato.com/belfast-northern-ireland/mollys-yard-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Botanic Ave, Belfast BT7 1JR",Belfast,Belfast,320,54.5861817000,-5.9322265000,BT7 1JR,215,"Belfast, Belfast",British,0,3.7,Good,4,0,0,[]
16675293,Shu,https://www.zomato.com/belfast-northern-ireland/shu-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"253 Lisburn Rd, Belfast BT9 7EN",Belfast,Belfast,320,54.5813100000,-5.9482210000,BT9 7EN,215,"Belfast, Belfast","French, British",0,3.4,Average,4,0,0,[]
16675569,Poacher's Pocket,https://www.zomato.com/belfast-northern-ireland/poachers-pocket-comber?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"181 Killinchy Rd, Comber BT23 5NE",Ards,Belfast,320,54.5194399000,-5.7239282000,BT23 5NE,215,"Ards, Belfast","British, Irish",12,0,Not rated,1,0,0,[]
16675480,Deanes at Queens,https://www.zomato.com/belfast-northern-ireland/deanes-at-queens-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1 College Gardens, Belfast BT9 6BQ",Belfast,Belfast,320,54.5832356000,-5.9375596000,BT9 6BQ,215,"Belfast, Belfast",British,0,0,Not rated,2,0,0,[]
16675542,Fluid,https://www.zomato.com/belfast-northern-ireland/fluid-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"350 Antrim Rd, Belfast BT36 5QE",Belfast,Belfast,320,54.6391867000,-5.9365190000,BT36 5QE,215,"Belfast, Belfast","British, Irish",12,0,Not rated,2,0,0,[]
16675077,Mollys,https://www.zomato.com/belfast-northern-ireland/mollys-ballymoney?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"24 Main St, Ballymoney BT53 6AL",Ballymoney,Belfast,320,55.0695325000,-6.5165347000,BT53 6AL,215,"Ballymoney, Belfast",British,0,0,Not rated,3,0,0,[]
16675266,Ryan's Bar and Grill,https://www.zomato.com/belfast-northern-ireland/ryans-bar-and-grill-belfast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"116-118 Lisburn Rd, Belfast BT9 6AH",Belfast,Belfast,320,54.5845720000,-5.9421060000,BT9 6AH,215,"Belfast, Belfast",British,0,0,Not rated,1,0,0,[]
